id,len,date,source,likes,retweets
1602808987048869888,63,2022-12-13 23:33:35,b'Watch more vios on our Youtube channel: https://t.co/N0dyz3EWfa',286,37
1602808542464905216,66,2022-12-13 23:31:49,"b""Meet Kamala Harris's 6-Year-Old Speechwrer https://t.co/nvGXYTXZ0x""",2765,619
